CityPart,MaxFloor,Area,Rooms,Bedrooms,LastFloor,Floor,PRICE (GEL),Status,Electrical Points,Condition,Heating,Natural Gas,Bed,Stove (Gas/Electric),Table,Refrigerator,Chairs,Oven,Air Conditioner,Washing Machine,Sofa,Dishwasher
Saburtaloze,24.0,87.0,3.0,2.0,0.0,19.0,380394.0,Newly Constructed,2.0,White Frame,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Vakeshi,16.0,151.0,4.0,3.0,0.0,9.0,1141182.0,Newly Constructed,2.0,Newly Renovated,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Bagebshi,11.0,63.0,2.0,1.0,0.0,8.0,543420.0,Newly Constructed,1.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Vakeshi,10.0,140.0,4.0,3.0,0.0,3.0,624933.0,Newly Constructed,2.0,Black Frame,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Saburtaloze,15.0,62.0,2.0,1.0,0.0,11.0,350506.0,Newly Constructed,1.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Saburtaloze,22.0,85.5,3.0,2.0,0.0,21.0,369526.0,Newly Constructed,1.0,White Frame,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Vakeshi,41.0,115.4,4.0,3.0,0.0,9.0,1567767.0,Newly Constructed,2.0,Newly Renovated,,0.0,0,0,0,0,0,0,0,0,0,0
Svanetis Ubanshi,6.0,105.0,4.0,3.0,0.0,2.0,339638.0,Newly Constructed,2.0,Newly Renovated,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Saburtaloze,34.0,100.0,3.0,2.0,0.0,11.0,1086840.0,Newly Constructed,2.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Nutsubidzis Ferdobze,9.0,60.0,3.0,2.0,0.0,7.0,228236.0,Newly Constructed,1.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Isanshi,16.0,73.7,3.0,2.0,0.0,5.0,210263.0,Under Construction,1.0,White Frame,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
